admin,adm0_a3,Longitude,Latitude
North Korea,PRK,127.1924797,40.15350311
Portugal,PRT,-8.50104361,39.59550671
Paraguay,PRY,-58.40013703,-23.22823913
Palestine,PSX,35.19628705,31.91613893
French Polynesia,PYF,-144.9049439,-14.72227409
Qatar,QAT,51.18479632,25.30601188
Romania,ROU,24.97293039,45.85243127
Russia,RUS,96.68656112,61.98052209
Rwanda,RWA,29.91988515,-1.99033832
Western Sahara,SAH,-12.21982755,24.22956739
Saudi Arabia,SAU,44.53686271,24.12245841
Sudan,SDN,29.94046812,15.99035669
South Sudan,SDS,30.24790002,7.30877945
Senegal,SEN,-14.4734924,14.36624173
Singapore,SGP,103.8172559,1.35876087
South Georgia and South Sandwich Islands,SGS,-36.43318388,-54.46488248
Saint Helena,SHN,-9.54779416,-12.40355951
Solomon Islands,SLB,159.6328767,-8.92178022
Sierra Leone,SLE,-11.79271247,8.56329593
El Salvador,SLV,-88.87164469,13.73943744
San Marino,SMR,12.45922334,43.94186747
Somaliland,SOL,46.25198395,9.73345496
Somalia,SOM,45.70714487,4.75062876
Saint Pierre and Miquelon,SPM,-56.30319779,46.91918789
Republic of Serbia,SRB,20.78958334,44.2215032
Sao Tome and Principe,STP,6.72429658,0.44391445
Suriname,SUR,-55.9123457,4.13055413
Slovakia,SVK,19.47905218,48.70547528
Slovenia,SVN,14.80444238,46.11554772
Sweden,SWE,16.74558049,62.77966519
Swaziland,SWZ,31.4819369,-26.55843045
Sint Maarten,SXM,-63.05713363,18.05081728
Seychelles,SYC,55.47603279,-4.66099094
Syria,SYR,38.50788204,35.02547389
Turks and Caicos Islands,TCA,-71.97387881,21.83047572
Chad,TCD,18.64492513,15.33333758
Togo,TGO,0.96232845,8.52531356
Thailand,THA,101.0028813,15.11815794
Tajikistan,TJK,71.01362631,38.5304539
Turkmenistan,TKM,59.37100021,39.11554137
East Timor,TLS,125.8443898,-8.82889162
Tonga,TON,-174.8098734,-20.42843174
Trinidad and Tobago,TTO,-61.26567923,10.45733408
Tunisia,TUN,9.55288359,34.11956246
Turkey,TUR,35.16895346,39.0616029
Taiwan,TWN,120.9542728,23.7539928
United Republic of Tanzania,TZA,34.81309981,-6.27565408
Uganda,UGA,32.36907971,1.27469299
Ukraine,UKR,31.38326469,48.99656673
Uruguay,URY,-56.01807053,-32.79951534
United States of America,USA,-112.4616737,45.6795472
Uzbekistan,UZB,63.14001528,41.75554225
Vatican,VAT,12.43387177,41.90174985
Saint Vincent and the Grenadines,VCT,-61.20129695,13.22472269
Venezuela,VEN,-66.18184123,7.12422421
British Virgin Islands,VGB,-64.47146992,18.52585755
United States Virgin Islands,VIR,-64.80301538,17.95500624
Vietnam,VNM,106.299147,16.6460167
Vanuatu,VUT,167.6864464,-16.22640909
Wallis and Futuna,WLF,-177.3483483,-13.88737039
Samoa,WSM,-172.1648506,-13.75324346
Yemen,YEM,47.58676189,15.90928005
South Africa,ZAF,25.08390093,-29.00034095
Zambia,ZMB,27.77475946,-13.45824152
Zimbabwe,ZWE,29.8514412,-19.00420419
